protocol,duration,packet_count,label,hour,minute,dayofweek,hour_sin,hour_cos
0,2.9108021447220507,74,0,3,25,0,0.7071067811865476,0.7071067811865476
0,4.66116767475193,33,0,8,38,0,0.8660254037844387,-0.4999999999999998
0,1.802558022114726,23,0,4,37,0,0.8660254037844386,0.5000000000000001
0,4.126773103326032,92,0,1,30,0,0.2588190451025207,0.9659258262890684
2,1.949096873660757,43,0,20,58,6,-0.8660254037844386,0.5000000000000001
0,16.714789352958626,431,1,0,37,0,0.0,1.0
1,0.5698486840130674,85,0,5,51,0,0.9659258262890684,0.2588190451025207
1,4.023830729374905,61,0,16,18,0,-0.8660254037844385,-0.5000000000000004
0,2.152761856413456,72,0,2,18,0,0.4999999999999999,0.8660254037844387
0,0.2553830386385176,87,0,12,2,0,1.2246467991473532e-16,-1.0
0,3.473063214071292,80,0,11,27,0,0.258819045102521,-0.9659258262890682
0,4.049464143017927,77,0,23,45,6,-0.2588190451025215,0.965925826289068
0,1.834711246807552,47,0,12,56,0,1.2246467991473532e-16,-1.0
1,4.059778711485898,60,0,7,54,0,0.9659258262890684,-0.2588190451025206
0,3.0157416776960764,47,0,22,47,6,-0.5000000000000004,0.8660254037844384
0,3.235867643019862,49,0,22,57,6,-0.5000000000000004,0.8660254037844384
0,0.1448625729545424,54,0,6,12,0,1.0,6.123233995736766e-17
0,0.0125722538490826,2,1,20,41,6,-0.8660254037844386,0.5000000000000001
0,2.170044051064465,23,0,8,16,0,0.8660254037844387,-0.4999999999999998
1,4.505732087223074,22,0,13,51,0,-0.2588190451025208,-0.9659258262890684
0,1.422086649251021,13,1,22,20,6,-0.5000000000000004,0.8660254037844384
0,3.765091555980975,24,0,8,57,0,0.8660254037844387,-0.4999999999999998
1,4.428395222562946,39,0,14,10,0,-0.4999999999999997,-0.8660254037844388
1,2.260014928757996,26,0,3,49,0,0.7071067811865476,0.7071067811865476
1,4.10672568375737,19,0,15,17,0,-0.7071067811865471,-0.7071067811865479
0,0.0308604858552958,3,1,21,22,6,-0.7071067811865477,0.7071067811865474
5,6.593638693159933,61,1,21,32,6,-0.7071067811865477,0.7071067811865474
0,3.9949634767211424,22,0,15,45,0,-0.7071067811865471,-0.7071067811865479
0,0.4610755815322382,38,0,15,35,0,-0.7071067811865471,-0.7071067811865479
0,3.27594805871021,62,0,7,17,0,0.9659258262890684,-0.2588190451025206
0,3.8559621198827663,10,0,7,56,0,0.9659258262890684,-0.2588190451025206
0,4.939468132097298,94,0,6,39,0,1.0,6.123233995736766e-17
1,1.919478497103568,38,0,17,43,0,-0.9659258262890684,-0.2588190451025206
0,3.4626784002515176,78,0,17,19,0,-0.9659258262890684,-0.2588190451025206
5,7.523650782769343,121,1,1,15,0,0.2588190451025207,0.9659258262890684
0,0.5767037205230934,80,0,8,3,0,0.8660254037844387,-0.4999999999999998
1,4.214135764488891,70,0,10,22,0,0.4999999999999999,-0.8660254037844387
1,2.7928582172935243,27,0,10,6,0,0.4999999999999999,-0.8660254037844387
0,3.0706364305679483,15,0,10,18,0,0.4999999999999999,-0.8660254037844387
0,2.5092526993632944,51,0,3,30,0,0.7071067811865476,0.7071067811865476
0,39.41744660259965,146,1,0,5,0,0.0,1.0
1,2.8104503946720736,45,0,5,50,0,0.9659258262890684,0.2588190451025207
1,0.7499998808940058,94,0,10,59,0,0.4999999999999999,-0.8660254037844387
1,0.1098899892176296,59,0,23,42,6,-0.2588190451025215,0.965925826289068
0,4.290779972158135,61,0,1,59,0,0.2588190451025207,0.9659258262890684
0,4.46747384397506,69,0,4,16,0,0.8660254037844386,0.5000000000000001
0,1.943168949125188,10,0,23,14,6,-0.2588190451025215,0.965925826289068
1,0.2389584454623736,94,0,21,33,6,-0.7071067811865477,0.7071067811865474
1,2.2078678687651787,45,0,5,48,0,0.9659258262890684,0.2588190451025207
0,0.7189218340433526,17,0,16,13,0,-0.8660254037844385,-0.5000000000000004
0,4.962611040993796,94,0,17,37,0,-0.9659258262890684,-0.2588190451025206
0,4.197359194556371,96,0,23,42,6,-0.2588190451025215,0.965925826289068
1,3.7495999263326696,37,0,2,13,0,0.4999999999999999,0.8660254037844387
0,0.2995720860820769,52,0,14,7,0,-0.4999999999999997,-0.8660254037844388
0,2.663254932320265,81,0,7,51,0,0.9659258262890684,-0.2588190451025206
0,0.8080423157984363,21,1,21,6,6,-0.7071067811865477,0.7071067811865474
0,4.721686368346564,41,0,15,7,0,-0.7071067811865471,-0.7071067811865479
0,1.7407383151777809,39,1,1,5,0,0.2588190451025207,0.9659258262890684
